name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.listCorruptedBlocksSupported#0], declaringLine=[344], LOC=[2]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.oldRename#4#org.apache.hadoop.fs.Path#org.apache.hadoop.fs.Path#boolean#boolean], declaringLine=[331], LOC=[10]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.restartCluster#0], declaringLine=[69], LOC=[12]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.setUp#0], declaringLine=[93], LOC=[2]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.tearDown#0], declaringLine=[99], LOC=[2]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testCrossFileSystemRename#0], declaringLine=[349], LOC=[10]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testEditsLogOldRename#0], declaringLine=[263], LOC=[22]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testEditsLogRename#0], declaringLine=[292], LOC=[22]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testIsValidNameInvalidNames#0], declaringLine=[317], LOC=[12]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testOldRenameWithQuota#0], declaringLine=[150], LOC=[32]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testRenameRoot#0], declaringLine=[243], LOC=[5]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testRenameToRoot#0], declaringLine=[251], LOC=[5]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testRenameWithQuota#0], declaringLine=[185], LOC=[55]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.testTruncate#0], declaringLine=[121], LOC=[26]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.unwrapException#1#java.io.IOException], declaringLine=[109], LOC=[5]
name=[org.apache.hadoop.fs.TestHdfsNativeCodeLoader.requireTestJni#0], declaringLine=[31], LOC=[5]
name=[org.apache.hadoop.fs.TestHdfsNativeCodeLoader.testNativeCodeLoaded#0], declaringLine=[39], LOC=[12]
name=[org.apache.hadoop.fs.TestResolveHdfsSymlink.setUp#0], declaringLine=[57], LOC=[7]
name=[org.apache.hadoop.fs.TestResolveHdfsSymlink.tearDown#0], declaringLine=[67], LOC=[4]
name=[org.apache.hadoop.fs.TestResolveHdfsSymlink.testFcDelegationToken#0], declaringLine=[122], LOC=[12]
name=[org.apache.hadoop.fs.TestResolveHdfsSymlink.testFcResolveAfs#0], declaringLine=[79], LOC=[31]
name=[org.apache.hadoop.fs.TestResolveHdfsSymlink.testLinkTargetNonExistent#0], declaringLine=[167], LOC=[11]
name=[org.apache.hadoop.fs.TestResolveHdfsSymlink.testLinkTargetNonSymlink#0], declaringLine=[141], LOC=[20]
name=[org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations.ClusterShutdownAtEnd#0], declaringLine=[108], LOC=[7]
name=[org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations.clusterSetupAtBeginning#0], declaringLine=[61], LOC=[34]
name=[org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations.createFileContextHelper#0], declaringLine=[98], LOC=[2]
name=[org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations.getWebhdfsUrl#0], declaringLine=[103], LOC=[2]
name=[org.apache.hadoop.fs.TestSymlinkHdfs.afterClassTeardown#0], declaringLine=[98], LOC=[4]
name=[org.apache.hadoop.fs.TestSymlinkHdfs.beforeClassSetup#0], declaringLine=[88], LOC=[7]
name=[org.apache.hadoop.fs.TestSymlinkHdfs.getScheme#0], declaringLine=[60], LOC=[2]
name=[org.apache.hadoop.fs.TestSymlinkHdfs.testBaseDir1#0], declaringLine=[65], LOC=[2]
